Year,Age,Major ethnic group,Sex,Life expectancy
2010,0,Bumiputera,Male,70.7
2010,1,Bumiputera,Male,70.3
2010,5,Bumiputera,Male,66.4
2010,10,Bumiputera,Male,61.5
2010,15,Bumiputera,Male,56.6
2010,20,Bumiputera,Male,51.9
2010,25,Bumiputera,Male,47.3
2010,30,Bumiputera,Male,42.6
2010,35,Bumiputera,Male,38.1
2010,40,Bumiputera,Male,33.7
2010,45,Bumiputera,Male,29.2
2010,50,Bumiputera,Male,25
2010,55,Bumiputera,Male,20.9
2010,60,Bumiputera,Male,17.1
2010,65,Bumiputera,Male,13.7
2010,70,Bumiputera,Male,10.7
2010,75,Bumiputera,Male,8.2
2010,80+,Bumiputera,Male,5.8
2010,0,Bumiputera,Female,75.4
2010,1,Bumiputera,Female,75
2010,5,Bumiputera,Female,71.1
2010,10,Bumiputera,Female,66.1
2010,15,Bumiputera,Female,61.2
2010,20,Bumiputera,Female,56.3
2010,25,Bumiputera,Female,51.5
2010,30,Bumiputera,Female,46.6
2010,35,Bumiputera,Female,41.8
2010,40,Bumiputera,Female,37.1
2010,45,Bumiputera,Female,32.4
2010,50,Bumiputera,Female,27.8
2010,55,Bumiputera,Female,23.5
2010,60,Bumiputera,Female,19.3
2010,65,Bumiputera,Female,15.5
2010,70,Bumiputera,Female,11.9
2010,75,Bumiputera,Female,8.9
2010,80+,Bumiputera,Female,6.5
2011,0,Bumiputera,Male,70.9
2011,1,Bumiputera,Male,70.4
2011,5,Bumiputera,Male,66.6
2011,10,Bumiputera,Male,61.7
2011,15,Bumiputera,Male,56.8
2011,20,Bumiputera,Male,52.1
2011,25,Bumiputera,Male,47.5
2011,30,Bumiputera,Male,42.8
2011,35,Bumiputera,Male,38.3
2011,40,Bumiputera,Male,33.8
2011,45,Bumiputera,Male,29.4
2011,50,Bumiputera,Male,25.1
2011,55,Bumiputera,Male,21
2011,60,Bumiputera,Male,17.2
2011,65,Bumiputera,Male,13.8
2011,70,Bumiputera,Male,10.8
2011,75,Bumiputera,Male,8.2
2011,80+,Bumiputera,Male,5.8
2011,0,Bumiputera,Female,75.6
2011,1,Bumiputera,Female,75.1
2011,5,Bumiputera,Female,71.2
2011,10,Bumiputera,Female,66.3
2011,15,Bumiputera,Female,61.4
2011,20,Bumiputera,Female,56.5
2011,25,Bumiputera,Female,51.6
2011,30,Bumiputera,Female,46.8
2011,35,Bumiputera,Female,41.9
2011,40,Bumiputera,Female,37.2
2011,45,Bumiputera,Female,32.5
2011,50,Bumiputera,Female,28
2011,55,Bumiputera,Female,23.6
2011,60,Bumiputera,Female,19.5
2011,65,Bumiputera,Female,15.6
2011,70,Bumiputera,Female,12.1
2011,75,Bumiputera,Female,9
2011,80+,Bumiputera,Female,6.5
2012,0,Bumiputera,Male,71
2012,1,Bumiputera,Male,70.5
2012,5,Bumiputera,Male,66.7
2012,10,Bumiputera,Male,61.8
2012,15,Bumiputera,Male,56.9
2012,20,Bumiputera,Male,52.2
2012,25,Bumiputera,Male,47.6
2012,30,Bumiputera,Male,42.9
2012,35,Bumiputera,Male,38.3
2012,40,Bumiputera,Male,33.8
2012,45,Bumiputera,Male,29.4
2012,50,Bumiputera,Male,25.1
2012,55,Bumiputera,Male,21.1
2012,60,Bumiputera,Male,17.3
2012,65,Bumiputera,Male,13.8
2012,70,Bumiputera,Male,10.8
2012,75,Bumiputera,Male,8.1
2012,80+,Bumiputera,Male,5.8
2012,0,Bumiputera,Female,75.7
2012,1,Bumiputera,Female,75.2
2012,5,Bumiputera,Female,71.3
2012,10,Bumiputera,Female,66.4
2012,15,Bumiputera,Female,61.5
2012,20,Bumiputera,Female,56.6
2012,25,Bumiputera,Female,51.7
2012,30,Bumiputera,Female,46.8
2012,35,Bumiputera,Female,42
2012,40,Bumiputera,Female,37.3
2012,45,Bumiputera,Female,32.6
2012,50,Bumiputera,Female,28.1
2012,55,Bumiputera,Female,23.7
2012,60,Bumiputera,Female,19.6
2012,65,Bumiputera,Female,15.7
2012,70,Bumiputera,Female,12.1
2012,75,Bumiputera,Female,9
2012,80+,Bumiputera,Female,6.5
2013,0,Bumiputera,Male,71.1
2013,1,Bumiputera,Male,70.7
2013,5,Bumiputera,Male,66.8
2013,10,Bumiputera,Male,61.9
2013,15,Bumiputera,Male,57
2013,20,Bumiputera,Male,52.4
2013,25,Bumiputera,Male,47.7
2013,30,Bumiputera,Male,43
2013,35,Bumiputera,Male,38.4
2013,40,Bumiputera,Male,33.9
2013,45,Bumiputera,Male,29.5
2013,50,Bumiputera,Male,25.2
2013,55,Bumiputera,Male,21.2
2013,60,Bumiputera,Male,17.4
2013,65,Bumiputera,Male,13.9
2013,70,Bumiputera,Male,10.8
2013,75,Bumiputera,Male,8.1
2013,80+,Bumiputera,Male,5.8
2013,0,Bumiputera,Female,75.7
2013,1,Bumiputera,Female,75.3
2013,5,Bumiputera,Female,71.4
2013,10,Bumiputera,Female,66.5
2013,15,Bumiputera,Female,61.6
2013,20,Bumiputera,Female,56.7
2013,25,Bumiputera,Female,51.8
2013,30,Bumiputera,Female,46.9
2013,35,Bumiputera,Female,42.1
2013,40,Bumiputera,Female,37.4
2013,45,Bumiputera,Female,32.7
2013,50,Bumiputera,Female,28.2
2013,55,Bumiputera,Female,23.9
2013,60,Bumiputera,Female,19.7
2013,65,Bumiputera,Female,15.8
2013,70,Bumiputera,Female,12.3
2013,75,Bumiputera,Female,9.1
2013,80+,Bumiputera,Female,6.6
2014,0,Bumiputera,Male,71.2
2014,1,Bumiputera,Male,70.8
2014,5,Bumiputera,Male,66.9
2014,10,Bumiputera,Male,62
2014,15,Bumiputera,Male,57.1
2014,20,Bumiputera,Male,52.4
2014,25,Bumiputera,Male,47.8
2014,30,Bumiputera,Male,43.1
2014,35,Bumiputera,Male,38.4
2014,40,Bumiputera,Male,34
2014,45,Bumiputera,Male,29.6
2014,50,Bumiputera,Male,25.3
2014,55,Bumiputera,Male,21.2
2014,60,Bumiputera,Male,17.5
2014,65,Bumiputera,Male,14
2014,70,Bumiputera,Male,10.9
2014,75,Bumiputera,Male,8.1
2014,80+,Bumiputera,Male,5.8
2014,0,Bumiputera,Female,75.8
2014,1,Bumiputera,Female,75.3
2014,5,Bumiputera,Female,71.5
2014,10,Bumiputera,Female,66.5
2014,15,Bumiputera,Female,61.6
2014,20,Bumiputera,Female,56.7
2014,25,Bumiputera,Female,51.8
2014,30,Bumiputera,Female,47
2014,35,Bumiputera,Female,42.2
2014,40,Bumiputera,Female,37.4
2014,45,Bumiputera,Female,32.8
2014,50,Bumiputera,Female,28.3
2014,55,Bumiputera,Female,23.9
2014,60,Bumiputera,Female,19.8
2014,65,Bumiputera,Female,15.9
2014,70,Bumiputera,Female,12.3
2014,75,Bumiputera,Female,9.2
2014,80+,Bumiputera,Female,6.6
2015,0,Bumiputera,Male,71.2
2015,1,Bumiputera,Male,70.8
2015,5,Bumiputera,Male,66.9
2015,10,Bumiputera,Male,62
2015,15,Bumiputera,Male,57.1
2015,20,Bumiputera,Male,52.3
2015,25,Bumiputera,Male,47.5
2015,30,Bumiputera,Male,42.8
2015,35,Bumiputera,Male,38.2
2015,40,Bumiputera,Male,33.7
2015,45,Bumiputera,Male,29.3
2015,50,Bumiputera,Male,25.1
2015,55,Bumiputera,Male,21.1
2015,60,Bumiputera,Male,17.4
2015,65,Bumiputera,Male,14
2015,70,Bumiputera,Male,10.9
2015,75,Bumiputera,Male,8.2
2015,80+,Bumiputera,Male,5.8
2015,0,Bumiputera,Female,75.9
2015,1,Bumiputera,Female,75.4
2015,5,Bumiputera,Female,71.5
2015,10,Bumiputera,Female,66.6
2015,15,Bumiputera,Female,61.6
2015,20,Bumiputera,Female,56.8
2015,25,Bumiputera,Female,51.9
2015,30,Bumiputera,Female,47
2015,35,Bumiputera,Female,42.2
2015,40,Bumiputera,Female,37.5
2015,45,Bumiputera,Female,32.9
2015,50,Bumiputera,Female,28.4
2015,55,Bumiputera,Female,24.1
2015,60,Bumiputera,Female,19.8
2015,65,Bumiputera,Female,16
2015,70,Bumiputera,Female,12.4
2015,75,Bumiputera,Female,9.2
2015,80+,Bumiputera,Female,6.6
2016,0,Bumiputera,Male,70.7
2016,1,Bumiputera,Male,70.2
2016,5,Bumiputera,Male,66.3
2016,10,Bumiputera,Male,61.4
2016,15,Bumiputera,Male,56.5
2016,20,Bumiputera,Male,51.9
2016,25,Bumiputera,Male,47.2
2016,30,Bumiputera,Male,42.5
2016,35,Bumiputera,Male,37.9
2016,40,Bumiputera,Male,33.4
2016,45,Bumiputera,Male,29.1
2016,50,Bumiputera,Male,24.9
2016,55,Bumiputera,Male,20.9
2016,60,Bumiputera,Male,17.2
2016,65,Bumiputera,Male,13.8
2016,70,Bumiputera,Male,10.7
2016,75,Bumiputera,Male,8.1
2016,80+,Bumiputera,Male,5.8
2016,0,Bumiputera,Female,75.7
2016,1,Bumiputera,Female,75.2
2016,5,Bumiputera,Female,71.3
2016,10,Bumiputera,Female,66.4
2016,15,Bumiputera,Female,61.5
2016,20,Bumiputera,Female,56.6
2016,25,Bumiputera,Female,51.7
2016,30,Bumiputera,Female,46.8
2016,35,Bumiputera,Female,42
2016,40,Bumiputera,Female,37.3
2016,45,Bumiputera,Female,32.7
2016,50,Bumiputera,Female,28.2
2016,55,Bumiputera,Female,23.9
2016,60,Bumiputera,Female,19.8
2016,65,Bumiputera,Female,16
2016,70,Bumiputera,Female,12.4
2016,75,Bumiputera,Female,9.3
2016,80+,Bumiputera,Female,6.6
2017,0,Bumiputera,Male,70.6
2017,1,Bumiputera,Male,70.2
2017,5,Bumiputera,Male,66.3
2017,10,Bumiputera,Male,61.4
2017,15,Bumiputera,Male,56.5
2017,20,Bumiputera,Male,51.8
2017,25,Bumiputera,Male,47.2
2017,30,Bumiputera,Male,42.5
2017,35,Bumiputera,Male,37.9
2017,40,Bumiputera,Male,33.4
2017,45,Bumiputera,Male,29.1
2017,50,Bumiputera,Male,24.9
2017,55,Bumiputera,Male,20.9
2017,60,Bumiputera,Male,17.3
2017,65,Bumiputera,Male,13.9
2017,70,Bumiputera,Male,10.8
2017,75,Bumiputera,Male,8.2
2017,80+,Bumiputera,Male,5.8
2017,0,Bumiputera,Female,75.7
2017,1,Bumiputera,Female,75.2
2017,5,Bumiputera,Female,71.4
2017,10,Bumiputera,Female,66.4
2017,15,Bumiputera,Female,61.5
2017,20,Bumiputera,Female,56.6
2017,25,Bumiputera,Female,51.7
2017,30,Bumiputera,Female,46.9
2017,35,Bumiputera,Female,42.1
2017,40,Bumiputera,Female,37.3
2017,45,Bumiputera,Female,32.7
2017,50,Bumiputera,Female,28.2
2017,55,Bumiputera,Female,23.9
2017,60,Bumiputera,Female,19.9
2017,65,Bumiputera,Female,16.1
2017,70,Bumiputera,Female,12.5
2017,75,Bumiputera,Female,9.4
2017,80+,Bumiputera,Female,6.7
2018,0,Bumiputera,Male,70.9
2018,1,Bumiputera,Male,70.4
2018,5,Bumiputera,Male,66.5
2018,10,Bumiputera,Male,61.6
2018,15,Bumiputera,Male,56.8
2018,20,Bumiputera,Male,52.1
2018,25,Bumiputera,Male,47.4
2018,30,Bumiputera,Male,42.7
2018,35,Bumiputera,Male,38.1
2018,40,Bumiputera,Male,33.6
2018,45,Bumiputera,Male,29.3
2018,50,Bumiputera,Male,25.1
2018,55,Bumiputera,Male,21.2
2018,60,Bumiputera,Male,17.5
2018,65,Bumiputera,Male,14.1
2018,70,Bumiputera,Male,11
2018,75,Bumiputera,Male,8.3
2018,80+,Bumiputera,Male,5.8
2018,0,Bumiputera,Female,75.9
2018,1,Bumiputera,Female,75.5
2018,5,Bumiputera,Female,71.6
2018,10,Bumiputera,Female,66.6
2018,15,Bumiputera,Female,61.7
2018,20,Bumiputera,Female,56.8
2018,25,Bumiputera,Female,51.9
2018,30,Bumiputera,Female,47.1
2018,35,Bumiputera,Female,42.3
2018,40,Bumiputera,Female,37.5
2018,45,Bumiputera,Female,32.9
2018,50,Bumiputera,Female,28.4
2018,55,Bumiputera,Female,24.1
2018,60,Bumiputera,Female,20.1
2018,65,Bumiputera,Female,16.3
2018,70,Bumiputera,Female,12.7
2018,75,Bumiputera,Female,9.5
2018,80+,Bumiputera,Female,6.7
2019,0,Bumiputera,Male,71.1
2019,1,Bumiputera,Male,70.7
2019,5,Bumiputera,Male,66.8
2019,10,Bumiputera,Male,61.9
2019,15,Bumiputera,Male,57
2019,20,Bumiputera,Male,52.3
2019,25,Bumiputera,Male,47.6
2019,30,Bumiputera,Male,42.9
2019,35,Bumiputera,Male,38.2
2019,40,Bumiputera,Male,33.7
2019,45,Bumiputera,Male,29.4
2019,50,Bumiputera,Male,25.2
2019,55,Bumiputera,Male,21.3
2019,60,Bumiputera,Male,17.7
2019,65,Bumiputera,Male,14.3
2019,70,Bumiputera,Male,11.2
2019,75,Bumiputera,Male,8.4
2019,80+,Bumiputera,Male,5.9
2019,0,Bumiputera,Female,76.2
2019,1,Bumiputera,Female,75.7
2019,5,Bumiputera,Female,71.8
2019,10,Bumiputera,Female,66.8
2019,15,Bumiputera,Female,61.9
2019,20,Bumiputera,Female,57
2019,25,Bumiputera,Female,52.1
2019,30,Bumiputera,Female,47.3
2019,35,Bumiputera,Female,42.5
2019,40,Bumiputera,Female,37.7
2019,45,Bumiputera,Female,33.1
2019,50,Bumiputera,Female,28.6
2019,55,Bumiputera,Female,24.3
2019,60,Bumiputera,Female,20.3
2019,65,Bumiputera,Female,16.5
2019,70,Bumiputera,Female,12.9
2019,75,Bumiputera,Female,9.6
2019,80+,Bumiputera,Female,6.8
2020p,0,Bumiputera,Male,71.5
2020p,1,Bumiputera,Male,71
2020p,5,Bumiputera,Male,67.1
2020p,10,Bumiputera,Male,62.2
2020p,15,Bumiputera,Male,57.3
2020p,20,Bumiputera,Male,52.5
2020p,25,Bumiputera,Male,47.8
2020p,30,Bumiputera,Male,43.1
2020p,35,Bumiputera,Male,38.5
2020p,40,Bumiputera,Male,33.9
2020p,45,Bumiputera,Male,29.6
2020p,50,Bumiputera,Male,25.5
2020p,55,Bumiputera,Male,21.6
2020p,60,Bumiputera,Male,17.9
2020p,65,Bumiputera,Male,14.5
2020p,70,Bumiputera,Male,11.4
2020p,75,Bumiputera,Male,8.5
2020p,80+,Bumiputera,Male,6
2020p,0,Bumiputera,Female,76.6
2020p,1,Bumiputera,Female,76.1
2020p,5,Bumiputera,Female,72.2
2020p,10,Bumiputera,Female,67.2
2020p,15,Bumiputera,Female,62.3
2020p,20,Bumiputera,Female,57.4
2020p,25,Bumiputera,Female,52.5
2020p,30,Bumiputera,Female,47.6
2020p,35,Bumiputera,Female,42.8
2020p,40,Bumiputera,Female,38.1
2020p,45,Bumiputera,Female,33.5
2020p,50,Bumiputera,Female,29
2020p,55,Bumiputera,Female,24.7
2020p,60,Bumiputera,Female,20.6
2020p,65,Bumiputera,Female,16.8
2020p,70,Bumiputera,Female,13.2
2020p,75,Bumiputera,Female,9.8
2020p,80+,Bumiputera,Female,6.9
2021e,0,Bumiputera,Male,71.9
2021e,1,Bumiputera,Male,71.4
2021e,5,Bumiputera,Male,67.5
2021e,10,Bumiputera,Male,62.5
2021e,15,Bumiputera,Male,57.6
2021e,20,Bumiputera,Male,52.8
2021e,25,Bumiputera,Male,48.1
2021e,30,Bumiputera,Male,43.4
2021e,35,Bumiputera,Male,38.7
2021e,40,Bumiputera,Male,34.2
2021e,45,Bumiputera,Male,29.9
2021e,50,Bumiputera,Male,25.8
2021e,55,Bumiputera,Male,21.9
2021e,60,Bumiputera,Male,18.2
2021e,65,Bumiputera,Male,14.8
2021e,70,Bumiputera,Male,11.6
2021e,75,Bumiputera,Male,8.7
2021e,80+,Bumiputera,Male,6.1
2021e,0,Bumiputera,Female,77.1
2021e,1,Bumiputera,Female,76.6
2021e,5,Bumiputera,Female,72.7
2021e,10,Bumiputera,Female,67.8
2021e,15,Bumiputera,Female,62.8
2021e,20,Bumiputera,Female,57.9
2021e,25,Bumiputera,Female,53
2021e,30,Bumiputera,Female,48.1
2021e,35,Bumiputera,Female,43.3
2021e,40,Bumiputera,Female,38.6
2021e,45,Bumiputera,Female,34
2021e,50,Bumiputera,Female,29.5
2021e,55,Bumiputera,Female,25.2
2021e,60,Bumiputera,Female,21.1
2021e,65,Bumiputera,Female,17.2
2021e,70,Bumiputera,Female,13.5
2021e,75,Bumiputera,Female,10.1
2021e,80+,Bumiputera,Female,7.1
2010,0,Chinese,Male,74.4
2010,1,Chinese,Male,73.7
2010,5,Chinese,Male,69.8
2010,10,Chinese,Male,64.8
2010,15,Chinese,Male,59.9
2010,20,Chinese,Male,55.1
2010,25,Chinese,Male,50.3
2010,30,Chinese,Male,45.5
2010,35,Chinese,Male,40.7
2010,40,Chinese,Male,36.1
2010,45,Chinese,Male,31.6
2010,50,Chinese,Male,27.3
2010,55,Chinese,Male,23.1
2010,60,Chinese,Male,19.1
2010,65,Chinese,Male,15.4
2010,70,Chinese,Male,12
2010,75,Chinese,Male,9
2010,80+,Chinese,Male,6.4
2010,0,Chinese,Female,79.1
2010,1,Chinese,Female,78.4
2010,5,Chinese,Female,74.4
2010,10,Chinese,Female,69.5
2010,15,Chinese,Female,64.5
2010,20,Chinese,Female,59.6
2010,25,Chinese,Female,54.7
2010,30,Chinese,Female,49.8
2010,35,Chinese,Female,44.9
2010,40,Chinese,Female,40.1
2010,45,Chinese,Female,35.3
2010,50,Chinese,Female,30.6
2010,55,Chinese,Female,26.1
2010,60,Chinese,Female,21.7
2010,65,Chinese,Female,17.4
2010,70,Chinese,Female,13.5
2010,75,Chinese,Female,10
2010,80+,Chinese,Female,7.2
2011,0,Chinese,Male,74.6
2011,1,Chinese,Male,74
2011,5,Chinese,Male,70
2011,10,Chinese,Male,65.1
2011,15,Chinese,Male,60.1
2011,20,Chinese,Male,55.3
2011,25,Chinese,Male,50.5
2011,30,Chinese,Male,45.7
2011,35,Chinese,Male,41
2011,40,Chinese,Male,36.3
2011,45,Chinese,Male,31.8
2011,50,Chinese,Male,27.4
2011,55,Chinese,Male,23.3
2011,60,Chinese,Male,19.3
2011,65,Chinese,Male,15.5
2011,70,Chinese,Male,12.1
2011,75,Chinese,Male,9
2011,80+,Chinese,Male,6.4
2011,0,Chinese,Female,79.3
2011,1,Chinese,Female,78.6
2011,5,Chinese,Female,74.7
2011,10,Chinese,Female,69.7
2011,15,Chinese,Female,64.8
2011,20,Chinese,Female,59.8
2011,25,Chinese,Female,54.9
2011,30,Chinese,Female,50
2011,35,Chinese,Female,45.1
2011,40,Chinese,Female,40.3
2011,45,Chinese,Female,35.5
2011,50,Chinese,Female,30.8
2011,55,Chinese,Female,26.3
2011,60,Chinese,Female,21.9
2011,65,Chinese,Female,17.7
2011,70,Chinese,Female,13.7
2011,75,Chinese,Female,10.2
2011,80+,Chinese,Female,7.3
2012,0,Chinese,Male,74.8
2012,1,Chinese,Male,74.1
2012,5,Chinese,Male,70.2
2012,10,Chinese,Male,65.2
2012,15,Chinese,Male,60.3
2012,20,Chinese,Male,55.4
2012,25,Chinese,Male,50.6
2012,30,Chinese,Male,45.8
2012,35,Chinese,Male,41.1
2012,40,Chinese,Male,36.4
2012,45,Chinese,Male,31.9
2012,50,Chinese,Male,27.6
2012,55,Chinese,Male,23.4
2012,60,Chinese,Male,19.4
2012,65,Chinese,Male,15.7
2012,70,Chinese,Male,12.2
2012,75,Chinese,Male,9.2
2012,80+,Chinese,Male,6.5
2012,0,Chinese,Female,79.6
2012,1,Chinese,Female,78.9
2012,5,Chinese,Female,74.9
2012,10,Chinese,Female,70
2012,15,Chinese,Female,65
2012,20,Chinese,Female,60.1
2012,25,Chinese,Female,55.2
2012,30,Chinese,Female,50.2
2012,35,Chinese,Female,45.4
2012,40,Chinese,Female,40.5
